match_id,radiant_two_ge4,dire_two_ge4,radiant_win,dire_win
8459753144,0,0,1,0
8459915275,0,0,0,1
8459739606,0,1,0,1
8459506710,1,0,0,1
8459601896,0,0,1,0
8459315753,0,0,1,0
8459402480,0,0,1,0
8460006210,0,0,1,0
8459538599,0,0,0,1
8459440200,0,0,1,0
8459670004,0,0,0,1
8459191946,0,0,1,0
8459311888,0,0,1,0
8459457609,0,0,1,0
8459296428,0,0,1,0
8459358322,0,0,0,1
8459237767,0,0,0,1
8459162429,0,0,0,1
8459248275,0,0,0,1
8459142920,1,0,1,0
8459005172,0,0,1,0
8459088198,0,0,1,0
8458981077,0,0,0,1
8458567498,0,0,0,1
8458460625,0,0,0,1
8458931342,0,0,0,1
8458840134,0,0,0,1
8458682516,0,0,0,1
8458873695,0,0,0,1
8458678684,0,0,0,1
8458739252,1,0,0,1
8458598097,0,0,1,0
8459341721,0,0,0,1
8458450837,0,0,0,1
8458465240,0,0,1,0
8458579372,1,0,0,1
8458145799,0,0,0,1
8458957582,0,0,1,0
8458267874,0,0,1,0
8458048475,0,0,0,1
8458346022,0,0,0,1
8458213734,0,0,0,1
8458341367,0,1,0,1
8458798936,0,0,0,1
8457933650,0,0,1,0
8457856206,1,0,0,1
8458238407,0,0,0,1
8458910195,0,0,0,1
8457937918,0,0,1,0
8457973381,0,0,1,0
8458055512,0,0,1,0
8457980751,0,0,0,1
8458096478,1,0,1,0
8457848379,0,0,1,0
8457758995,0,0,1,0
8457801985,0,0,0,1
8458150926,0,0,0,1
8458122125,0,0,1,0
8457701049,0,0,1,0
8458419173,0,0,0,1
8457803534,0,0,0,1
8458048107,0,0,1,0
8457681647,0,0,1,0
8457684680,0,1,0,1
8457673270,0,0,1,0
8457713421,0,0,0,1
8457765162,0,0,1,0
8457638226,0,0,0,1
8457757596,0,0,1,0
8457733518,0,0,0,1
8457610164,0,1,0,1
8457607613,0,0,1,0
8457636507,0,0,1,0
8457720888,0,0,1,0
8457606895,0,0,0,1
8457585337,0,0,1,0
8457593214,1,0,1,0
8457598084,0,0,0,1
8457530401,0,0,0,1
8457500699,0,0,1,0
8457582515,0,0,1,0
8457620590,0,0,0,1
8457522335,0,0,0,1
8457578599,0,0,1,0
8457702498,0,0,1,0
